idx,sector,theme,class,solution
1,BUILDINGS & THEIR ENVIRONMENT,Building Development,Construction,Net Zero Buildings
2,BUILDINGS & THEIR ENVIRONMENT,Building Development,Construction,PassivHaus
3,BUILDINGS & THEIR ENVIRONMENT,Building Development,Construction,Green Roofs
4,BUILDINGS & THEIR ENVIRONMENT,Building Development,Construction,Pedestrianisation
5,BUILDINGS & THEIR ENVIRONMENT,Building Development,Smart Building,Building Automation
6,BUILDINGS & THEIR ENVIRONMENT,Building Development,Smart Building,Smart Thermostat / Meter
7,BUILDINGS & THEIR ENVIRONMENT,Building Development,Smart Building,Smart Glass
8,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Insulation,Loft Insulation
9,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Insulation,Wall Insulation
10,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Insulation,Floor Insulation
11,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Insulation,Draft Exclusion
12,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Insulation,Double Glazing
13,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Heating,District Heating
14,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Heating,Underfloor Heating
15,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Heating,Air-Source Heat Pump (ASHP)
16,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Heating,Ground-Source Heat Pump (GSHP)
17,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Heating,Hydrogen-Cell Heating
18,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Lighting,LED Lighting (Household)
19,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Lighting,LED Lighting (Public)
20,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Retrofitting,House Surveying
21,BUILDINGS & THEIR ENVIRONMENT,Building Performance,Retrofitting,Retrofitting Service
22,BUILDINGS & THEIR ENVIRONMENT,Building Environment,Water (Urban),Reduced Water Use
23,BUILDINGS & THEIR ENVIRONMENT,Building Environment,Water (Urban),Water Capture
24,BUILDINGS & THEIR ENVIRONMENT,Building Environment,Water (Urban),Greywater Applications
25,BUILDINGS & THEIR ENVIRONMENT,Building Environment,Water (Urban),Water Refill Schemes
26,BUILDINGS & THEIR ENVIRONMENT,Building Environment,Water (Urban),Water Fountains
27,BUILDINGS & THEIR ENVIRONMENT,Building Environment,Water (Urban),Urban Flood Management
28,BUILDINGS & THEIR ENVIRONMENT,Building Environment,Vehicle Access,Site EV Charging
29,BUILDINGS & THEIR ENVIRONMENT,Building Environment,Vehicle Pollution,Air Quality Monitoring
30,BUILDINGS & THEIR ENVIRONMENT,Building Environment,Vehicle Pollution,Air Quality Improvement
31,ENERGY PRODUCTION,Electricity Generation,Solar PV,Rooftop Solar PV
32,ENERGY PRODUCTION,Electricity Generation,Solar PV,Solar PV Farms
33,ENERGY PRODUCTION,Electricity Generation,Wind,Micro Wind
34,ENERGY PRODUCTION,Electricity Generation,Wind,Wind Turbines (Offshore)
35,ENERGY PRODUCTION,Electricity Generation,Wind,Wind Turbines (Onshore)
36,ENERGY PRODUCTION,Electricity Generation,Tidal & Wave,Tidal Lagoon
37,ENERGY PRODUCTION,Electricity Generation,Tidal & Wave,Wave Power
38,ENERGY PRODUCTION,Electricity Generation,Micro Hydro,Archimedean Screw
39,ENERGY PRODUCTION,Electricity Generation,Micro Hydro,Crossflow Turbine
40,ENERGY PRODUCTION,Electricity Generation,Micro Hydro,Kaplan Turbine
41,ENERGY PRODUCTION,Electricity Generation,Micro Hydro,Pelton & Turgo Turbines
42,ENERGY PRODUCTION,Electricity Generation,Geothermal,Binary Cycle Geothermal
